"Leganto Doi","Leganto Authors","Leganto Pubdate","Course code","Course instructors",Department,"Course status","Course year","Reading list code","Reading list name","Leganto Journal title","Leganto  title","WoS Title","WoS journal","Publication year",Publisher,"Doc type",Citations,"WoS ID","Author name","Author sequence","Address sequence",Address,City,Country,"Item ID","Daisng ID"
10.1007/s004220000168,"Collett, Matthew ; Collett, Thomas S",2000-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Biological cybernetics","How do insects use path integration for their navigation?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s004220000168,"Collett, Matthew ; Collett, Thomas S",2000-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Biological cybernetics","How do insects use path integration for their navigation?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.10070,"King, John A ; Burgess, Neil ; Hartley, Tom ; Vargha-Khadem, Faraneh ; O'Keefe, John",2002,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Hippocampus,"Human hippocampus and viewpoint dependence in spatial memory",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1002/hipo.10070,"King, John A ; Burgess, Neil ; Hartley, Tom ; Vargha-Khadem, Faraneh ; O'Keefe, John",2002,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Hippocampus,"Human hippocampus and viewpoint dependence in spatial memory",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/415429a,"Ernst, Marc O ; Banks, Martin S",2002-01-24,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Nature (London)","Humans integrate visual and haptic information in a statistically optimal fashion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/415429a,"Ernst, Marc O ; Banks, Martin S",2002-01-24,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Nature (London)","Humans integrate visual and haptic information in a statistically optimal fashion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/978-3-662-56375-5,"Hölting, Bernward ; Coldewey, Wilhelm G",2018,22757_SOEE5070M,00038895,"School of Earth and Environment",Inactive,,202122_SOEE5070M__8608259_1,"SOEE5070M: SOEE5070 Module Reading List",,Hydrogeology,string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/124.5.941,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",2001-05,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/124.5.941,"Husain, Masud ; Mannan, Sabira ; Hodgson, Tim ; Wojciulik, Ewa ; Driver, Jon ; Kennard, Christopher",2001-05,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Impaired spatial working memory across saccades contributes to abnormal search in parietal neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1242/jeb.01880,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",2005-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental biology","Interactions of visual odometry and landmark guidance during food search in honeybees",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1242/jeb.01880,"Vladusich, T ; Hemmi, JM ; Srinivasan, MV ; Zeil, J",2005-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental biology","Interactions of visual odometry and landmark guidance during food search in honeybees",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.32.1.88,"Wilkie, Richard M ; Wann, John P",2006-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Judgments of Path, Not Heading, Guide Locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/0096-1523.32.1.88,"Wilkie, Richard M ; Wann, John P",2006-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Judgments of Path, Not Heading, Guide Locomotion",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.280.5365.921,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",1998-05-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Knowing Where and Getting There: A Human Navigation Network",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1126/science.280.5365.921,"Maguire, EA ; Burgess, N ; Donnett, JG ; Frackowiak, RSJ ; Frith, CD ; O'Keefe, J",1998-05-08,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Science (American Association for the Advancement of Science)","Knowing Where and Getting There: A Human Navigation Network",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1136/jnnp.20.1.11,"Scoville, William Beecher ; Milner, Brenda",1957-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of neurology, neurosurgery and psychiatry","LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1136/jnnp.20.1.11,"Scoville, William Beecher ; Milner, Brenda",1957-02,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of neurology, neurosurgery and psychiatry","LOSS OF RECENT MEMORY AFTER BILATERAL HIPPOCAMPAL LESIONS",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s00221-009-1813-6,"Cloete, Steven R ; Wallis, Guy",2009-04-29,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Experimental brain research","Limitations of feedforward control in multiple-phase steering movements",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1007/s00221-009-1813-6,"Cloete, Steven R ; Wallis, Guy",2009-04-29,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Experimental brain research","Limitations of feedforward control in multiple-phase steering movements",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/23276,"Squire, Larry R ; Teng, Edmond",1999-08-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Nature (London)","Memory for places learned long ago is intact after hippocampal damage",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1038/23276,"Squire, Larry R ; Teng, Edmond",1999-08-12,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Nature (London)","Memory for places learned long ago is intact after hippocampal damage",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1144/GSL.QJEG.1986.019.01.02,"Hobbs, N. B",1986-02,28573_SOEE5531M,"01051505; 01064654","School of Earth and Environment",Inactive,,202122_SOEE5531M__8970365_1,"SOEE5531M: Module Reading List","Quarterly journal of engineering geology and hydrogeology","Mire morphology and the properties and behaviour of some British and foreign peats",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1371/journal.pone.0011975,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","PloS one","Monkey steering responses reveal rapid visual-motor feedback",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1371/journal.pone.0011975,"Egger, Seth W ; Engelhardt, Heidi R ; Britten, Kenneth H",2010,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","PloS one","Monkey steering responses reveal rapid visual-motor feedback",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/a0026568,"Raw, Rachael K ; Kountouriotis, Georgios K ; Mon-Williams, Mark ; Wilkie, Richard M",2012-06,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Movement Control in Older Adults: Does Old Age Mean Middle of the Road?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1037/a0026568,"Raw, Rachael K ; Kountouriotis, Georgios K ; Mon-Williams, Mark ; Wilkie, Richard M",2012-06,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Journal of experimental psychology. Human perception and performance","Movement Control in Older Adults: Does Old Age Mean Middle of the Road?",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/awl286,"Maguire, Eleanor A ; Nannery, Rory ; Spiers, Hugo J",2006-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Navigation around London by a taxi driver with bilateral hippocampal lesions",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1093/brain/awl286,"Maguire, Eleanor A ; Nannery, Rory ; Spiers, Hugo J",2006-11,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Brain (London, England : 1878)","Navigation around London by a taxi driver with bilateral hippocampal lesions",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1108/OIR-02-2016-0044,"Cook, Jonathan",2016,31432_CIVE1560,"00904333; 00955613","School of Civil Engineering",Inactive,,0.9712380487306655,"Test Reading List","Online information review","Networked spectators: Social media conversation and moderation at the Olympic opening ceremony",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1108/OIR-02-2016-0044,"Cook, Jonathan",2016,34308_PSYC5902M,00977697,"School of Psychology",Inactive,,0.9712380487306655,"Test Reading List","Online information review","Networked spectators: Social media conversation and moderation at the Olympic opening ceremony",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1523/JNEUROSCI.2130-07.2007,"Field, David T ; Wilkie, Richard M ; Wann, John P",2007-07-25,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","The Journal of neuroscience","Neural Systems in the Visual Control of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1523/JNEUROSCI.2130-07.2007,"Field, David T ; Wilkie, Richard M ; Wann, John P",2007-07-25,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","The Journal of neuroscience","Neural Systems in the Visual Control of Steering",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.neuroimage.2007.02.032,"Spiers, Hugo J ; Maguire, Eleanor A",2007-05-15,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","NeuroImage (Orlando, Fla.)","Neural substrates of driving behaviour",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.neuroimage.2007.02.032,"Spiers, Hugo J ; Maguire, Eleanor A",2007-05-15,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","NeuroImage (Orlando, Fla.)","Neural substrates of driving behaviour",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/0166-2236(83)90190-X,"Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",1983,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Trends in Neurosciences","Object vision and spatial vision: two cortical pathways",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/0166-2236(83)90190-X,"Mishkin, Mortimer ; Ungerleider, Leslie G ; Macko, Kathleen A",1983,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Trends in Neurosciences","Object vision and spatial vision: two cortical pathways",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/0028-3932(83)90010-6,"Girotti, Floriano ; Casazza, Marina ; Musicco, Massimo ; Avanzini, Giuliano",1983,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Neuropsychologia,"Oculomotor disorders in cortical lesions in man: The role of unilateral neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/0028-3932(83)90010-6,"Girotti, Floriano ; Casazza, Marina ; Musicco, Massimo ; Avanzini, Giuliano",1983,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Neuropsychologia,"Oculomotor disorders in cortical lesions in man: The role of unilateral neglect",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.neuropsychologia.2009.04.009,"Zihl, Josef ; Sämann, Philipp ; Schenk, Thomas ; Schuett, Susanne ; Dauner, Ruth",2009,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Neuropsychologia,"On the origin of line bisection error in hemianopia",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.neuropsychologia.2009.04.009,"Zihl, Josef ; Sämann, Philipp ; Schenk, Thomas ; Schuett, Susanne ; Dauner, Ruth",2009,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Neuropsychologia,"On the origin of line bisection error in hemianopia",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.5014/ajot.63.5.626,"Warren, Mary",2009,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","The American journal of occupational therapy","Pilot study on activities of daily living limitations in adults with hemianopsia",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.5014/ajot.63.5.626,"Warren, Mary",2009,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","The American journal of occupational therapy","Pilot study on activities of daily living limitations in adults with hemianopsia",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.humov.2007.05.005,"Wolpert, Daniel M",2007,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List","Human movement science","Probabilistic models in human sensorimotor control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/j.humov.2007.05.005,"Wolpert, Daniel M",2007,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List","Human movement science","Probabilistic models in human sensorimotor control",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
10.1016/S0010-9452(87)80020-5,"Habib, Michel ; Sirigu, Angela",1987-03,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__9390772_1,"PSYC3505: Module Reading List",Cortex,"Pure Topographical Disorientation: A Definition and Anatomical Basis",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
https://doi.org/10.1016/S0010-9452(87)80020-5,"Habib M, Sirigu A",1987,25874_PSYC3505,,"School of Psychology",Inactive,,202122_PSYC3505__8994937_1,"PSYC3505: Module Reading List",Cortex,"Pure topographical disorientation: a definition and anatomical basis.",string,string,0,string,string,0,string,,,,string|,string|,string|,"string: string|",
